date,nav,scheme_code,scheme_name,fund_house
02-08-2024,61.07000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
01-08-2024,61.61000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
31-07-2024,61.61000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
30-07-2024,61.39000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
29-07-2024,61.45000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
26-07-2024,61.33000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
25-07-2024,60.36000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
24-07-2024,60.30000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
23-07-2024,60.33000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
22-07-2024,60.49000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
19-07-2024,60.32000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
18-07-2024,61.05000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
16-07-2024,60.73000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
15-07-2024,60.80000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
12-07-2024,60.45000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
11-07-2024,60.15000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
10-07-2024,60.22000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
09-07-2024,60.45000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
08-07-2024,60.14000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
05-07-2024,60.19000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
04-07-2024,60.06000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
03-07-2024,59.97000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
02-07-2024,59.57000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
01-07-2024,59.69000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
28-06-2024,59.30000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
27-06-2024,59.45000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
26-06-2024,58.98000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
25-06-2024,58.70000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
24-06-2024,58.31000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
21-06-2024,58.08000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
20-06-2024,58.28000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
19-06-2024,58.19000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
18-06-2024,58.39000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
14-06-2024,58.21000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
13-06-2024,57.86000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
12-06-2024,57.54000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
11-06-2024,57.28000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
10-06-2024,57.30000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
07-06-2024,57.27000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
06-06-2024,56.24000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
05-06-2024,55.65000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
04-06-2024,53.88000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
03-06-2024,57.25000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
31-05-2024,55.47000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
30-05-2024,55.40000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
29-05-2024,55.75000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
28-05-2024,56.15000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
27-05-2024,56.38000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
24-05-2024,56.36000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
23-05-2024,56.35000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
22-05-2024,55.61000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
21-05-2024,55.43000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
17-05-2024,55.26000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
16-05-2024,54.99000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
15-05-2024,54.48000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
14-05-2024,54.35000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
13-05-2024,54.08000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
10-05-2024,53.98000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
09-05-2024,53.63000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
08-05-2024,54.36000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
07-05-2024,54.21000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
06-05-2024,54.65000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
03-05-2024,54.74000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
02-05-2024,55.12000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
30-04-2024,54.97000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
29-04-2024,55.02000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
26-04-2024,54.50000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
25-04-2024,54.79000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
24-04-2024,54.46000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
23-04-2024,54.31000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
22-04-2024,54.26000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
19-04-2024,53.78000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
18-04-2024,53.50000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
16-04-2024,53.78000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
15-04-2024,54.05000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
12-04-2024,54.75000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
10-04-2024,55.22000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
09-04-2024,54.91000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
